id,room_id/id,noted_date,temp,out/in
__export__.temp_log_36405_139a524d,Room Admin,2018-09-30,51,Out
__export__.temp_log_36382_f6ec793e,Room Admin,2018-09-30,51,Out
__export__.temp_log_35883_fd412553,Room Admin,2018-09-30,50,Out
__export__.temp_log_35973_8ffb7acd,Room Admin,2018-09-30,50,Out
__export__.temp_log_39798_c98bf35d,Room Admin,2018-10-10,50,Out
