id,room_id/id,noted_date,temp,out/in
__export__.temp_log_177075_1afebd80,Room Admin,2018-12-03,21,In
__export__.temp_log_177074_72ce2c39,Room Admin,2018-12-03,21,In
__export__.temp_log_177087_2417a9bd,Room Admin,2018-12-03,22,In
__export__.temp_log_177076_954c5fa7,Room Admin,2018-12-03,22,In
__export__.temp_log_177091_fe8090ab,Room Admin,2018-12-03,22,In
